RANK,ID,SUM,GRADES,VR,SP,CZECH,MATH,ADMITTED_ID
115,25135,"98,000","2,000",16,16,33,31,0
116,77341,"98,000","2,000",14,16,34,32,0
117,45475,"97,890","1,890",14,16,31,35,0
118,22875,"97,890","1,890",14,14,32,36,0
119,69431,"97,000","2,000",12,18,39,26,0
120,42085,"97,000","2,000",20,16,40,19,0
121,66267,"97,000","2,000",12,16,35,32,0
122,83217,"97,000","2,000",12,14,37,32,0
123,26265,"97,000","2,000",16,12,32,35,0
124,61973,"96,670","1,670",14,14,36,31,0
125,56097,"96,557","1,557",22,16,26,31,0
126,37565,"96,443","1,443",22,18,25,30,0
127,87059,"96,000","2,000",14,14,29,37,0
128,54741,"96,000","2,000",24,12,35,23,0
129,66041,"95,890","1,890",20,12,26,36,0
130,53159,"95,890","1,890",12,12,30,40,0
130,96551,"95,890","1,890",12,12,36,34,0
132,59035,"95,557","1,557",12,12,38,32,0
133,21067,"95,000","2,000",20,16,33,24,0
134,27169,"95,000","2,000",20,6,38,29,0
135,47735,"94,890","1,890",20,14,34,25,0
136,35079,"94,000","2,000",18,18,22,34,0
137,71239,"94,000","2,000",14,16,41,21,0
138,57001,"94,000","2,000",14,14,32,32,0
139,38695,"94,000","2,000",20,12,33,27,0
140,24683,"94,000","2,000",18,12,39,23,0
141,94517,"93,890","1,890",20,14,28,30,0
142,56323,"93,330","1,330",26,12,33,21,0
143,80957,"93,000","2,000",14,14,31,32,0
144,36209,"93,000","2,000",18,10,27,36,0
145,12705,"92,780","1,780",16,14,23,38,0
146,47509,"92,557","1,557",14,10,36,31,0
147,51803,"92,000","2,000",14,16,33,27,0
148,12253,"92,000","2,000",18,14,29,29,0
149,21971,"92,000","2,000",16,14,34,26,0
150,75759,"92,000","2,000",14,14,40,22,0
151,19259,"92,000","2,000",18,12,35,25,0
152,52255,"92,000","2,000",16,10,36,28,0
153,30559,"92,000","2,000",12,10,40,28,0
154,28751,"92,000","2,000",16,8,33,33,0
155,94743,"91,000","2,000",18,18,29,24,0
156,89093,"91,000","2,000",18,16,32,23,0
157,29429,"91,000","2,000",18,14,31,26,0
158,71013,"90,890","1,890",14,12,33,30,0
159,93161,"90,780","1,780",14,8,43,24,0
160,40051,"90,443","1,443",18,14,32,25,0
161,85251,"89,890","1,890",20,14,38,16,0
162,24005,"89,890","1,890",14,14,40,20,0
163,67171,"89,443","1,443",20,14,37,17,0
164,74629,"89,000","2,000",12,16,27,32,0
165,26039,"89,000","2,000",20,14,29,24,0
166,95421,"89,000","2,000",12,14,31,30,0
167,88415,"89,000","2,000",20,12,22,33,0
168,60391,"89,000","2,000",16,12,35,24,0
169,41859,"89,000","2,000",20,10,38,19,0
170,70109,"89,000","2,000",10,10,29,38,0
171,96777,"88,890","1,890",12,16,29,30,0
172,14061,"88,670","1,670",18,12,29,28,0
173,61069,"88,557","1,557",16,18,34,19,0
174,20389,"88,000","2,000",16,14,30,26,0
175,39147,"87,890","1,890",16,16,36,18,0
176,97229,"87,780","1,780",14,16,28,28,0
177,37339,"87,220","1,220",22,12,28,24,0
178,94291,"87,000","2,000",12,14,33,26,0
179,75081,"87,000","2,000",16,12,37,20,0
180,51577,"87,000","2,000",12,12,35,26,0
180,93387,"55,610","1,610",16,12,,26,0
182,89997,"86,333","1,333",22,12,31,20,0
183,13383,"86,000","2,000",14,18,34,18,0
184,19485,"86,000","2,000",22,14,23,25,0
185,42311,"86,000","2,000",20,12,29,23,0
185,16321,"86,000","2,000",20,12,33,19,0
187,68075,"86,000","2,000",18,12,26,28,0
188,98811,"86,000","2,000",16,12,25,31,0
189,58809,"86,000","2,000",22,8,34,20,0
190,44345,"85,890","1,890",18,10,28,28,0
191,71465,"85,780","1,780",14,12,35,23,0
192,64007,"85,777","1,777",14,12,29,29,0
193,99037,"85,000","2,000",12,16,31,24,0
194,68527,"85,000","2,000",10,14,33,26,0
195,25361,"85,000","2,000",8,14,37,24,0
196,95195,"85,000","2,000",4,10,37,32,0
197,30785,"85,000","2,000",16,8,27,32,0
197,70561,"85,000","2,000",16,8,28,31,0
199,96099,"84,890","1,890",20,10,34,19,0
200,32141,"84,000","2,000",22,16,26,18,0
201,11575,"84,000","2,000",16,14,30,22,0
202,79375,"84,000","2,000",14,12,31,25,0
203,10219,"84,000","2,000",18,10,34,20,0
204,18581,"84,000","2,000",16,10,27,29,0
205,36887,"83,890","1,890",14,8,30,30,0
206,23779,"83,890","1,890",20,6,35,21,0
207,15869,"83,667","1,667",16,10,30,26,0
208,26491,"83,000","2,000",10,16,28,27,0
209,27621,"82,890","1,890",18,10,28,25,0
210,63555,"82,667","1,667",16,14,25,26,0
211,29203,"82,110","1,110",18,10,28,25,0
212,16547,"82,000","2,000",12,16,30,22,0
213,58131,"82,000","2,000",16,8,33,23,0
214,55645,"81,780","1,780",12,14,30,24,0
215,56775,"81,667","1,667",22,10,28,20,0
216,42763,"81,333","1,333",14,10,29,27,0
217,35305,"81,000","2,000",16,16,32,15,0
218,76437,"81,000","2,000",10,16,33,20,0
219,59261,"81,000","2,000",14,14,30,21,0
220,57227,"80,890","1,890",16,12,24,27,0
221,60165,"80,557","1,557",18,10,26,25,0
222,81635,"80,000","2,000",18,14,25,21,0
222,80505,"80,000","2,000",18,14,27,19,0
224,62199,"80,000","2,000",14,14,34,16,0
225,72369,"79,890","1,890",16,12,25,25,0
226,16095,"79,000","2,000",14,16,28,19,0
227,65137,"79,000","2,000",18,10,32,17,0
228,12931,"78,000","2,000",12,14,26,24,0
229,97681,"78,000","2,000",10,14,22,30,0
230,38469,"77,890","1,890",18,10,27,21,0
231,15643,"77,557","1,557",14,16,25,21,0
232,52933,"77,110","1,110",14,12,26,24,0
233,43893,"77,000","2,000",12,16,30,17,0
234,24231,"77,000","2,000",14,14,34,13,0
234,92935,"77,000","2,000",14,14,23,24,0
236,92709,"77,000","2,000",16,12,28,19,0
237,14965,"77,000","2,000",16,10,26,23,0
238,38243,"76,890","1,890",18,12,30,15,0
239,63103,"76,890","1,890",14,12,30,19,0
240,86607,"75,557","1,557",10,12,22,30,0
241,88641,"75,333","1,333",16,16,21,21,0
242,78923,"75,000","2,000",14,10,26,23,0
243,12027,"75,000","2,000",12,8,28,25,0
244,45249,"74,890","1,890",14,14,32,13,0
245,79827,"74,447","1,447",16,10,28,19,0
246,19033,"74,330","1,330",10,18,19,26,0
247,67397,"74,000","2,000",6,14,25,27,0
248,40955,"74,000","2,000",16,10,30,16,0
249,44571,"74,000","2,000",14,10,30,18,0
250,57679,"73,250","1,250",16,12,27,17,0
251,27395,"73,000","2,000",18,16,25,12,0
252,43667,"73,000","2,000",12,14,26,19,0
253,68753,"73,000","2,000",14,12,29,16,0
254,58357,"72,780","1,780",16,12,24,19,0
255,34853,"72,670","1,670",20,14,16,21,0
256,24909,"72,667","1,667",18,16,28,9,0
257,97003,"72,557","1,557",12,12,23,24,0
258,78245,"72,447","1,447",12,10,28,21,0
259,82313,"72,330","1,330",16,16,22,17,0
260,11123,"72,330","1,330",12,10,37,12,0
261,84121,"72,000","2,000",6,16,24,24,0
262,74177,"72,000","2,000",8,14,23,25,0
263,60617,"72,000","2,000",16,6,31,17,0
264,62877,"71,000","2,000",6,14,24,25,0
265,28525,"70,890","1,890",16,16,21,16,0
266,50221,"70,890","1,890",18,10,23,18,0
267,22649,"70,890","1,890",10,8,26,25,0
268,33949,"69,780","1,780",14,10,19,25,0
269,75985,"69,557","1,557",14,12,23,19,0
270,89771,"69,000","2,000",10,12,22,23,0
271,64685,"68,890","0,890",18,12,17,21,0
272,53611,"68,890","1,890",18,10,25,14,0
273,45927,"68,667","1,667",14,10,23,20,0
274,90449,"68,333","1,333",14,12,24,17,0
275,91353,"68,223","1,223",18,8,23,18,0
276,30333,"68,110","1,110",8,10,27,22,0
277,60843,"68,000","1,000",12,16,26,13,0
278,94969,"68,000","2,000",14,14,27,11,0
279,49317,"68,000","2,000",20,10,25,11,0
280,51125,"68,000","2,000",12,8,22,24,0
281,59487,"67,890","1,890",18,10,29,9,0
282,34627,"67,890","1,890",14,8,30,14,0
283,83443,"67,780","1,780",12,10,20,24,0
284,93839,"67,670","1,670",18,12,18,18,0
285,70335,"67,220","1,220",8,12,25,21,0
286,47283,"66,780","1,780",14,4,19,28,0
287,14513,"66,557","1,557",18,12,21,14,0
288,76889,"66,443","1,443",6,12,19,28,0
289,89545,"65,890","1,890",16,10,24,14,0
290,31237,"65,780","1,780",12,12,27,13,0
291,92483,"65,443","1,443",14,14,16,20,0
292,50447,"65,220","1,220",18,12,16,18,0
293,82087,"65,000","2,000",14,12,22,15,0
294,17225,"64,890","1,890",16,6,23,18,0
295,62651,"64,557","1,557",14,12,23,14,0
296,10445,"64,000","2,000",12,14,22,14,0
297,81409,"63,890","1,890",14,16,23,9,0
298,90675,"63,557","1,557",12,14,23,13,0
299,23327,"63,557","1,557",20,12,20,10,0
300,73273,"63,443","1,443",14,10,19,19,0
301,61521,"63,330","1,330",12,12,19,19,0
302,37791,"63,110","1,110",12,8,25,17,0
303,63329,"63,000","2,000",14,14,21,12,0
304,98585,"63,000","2,000",18,8,27,8,0
305,32819,"62,890","1,890",18,14,17,12,0
306,71917,"62,780","1,780",8,10,17,26,0
307,54289,"62,667","1,667",14,14,26,7,0
308,65815,"62,553","1,553",14,10,19,18,0
309,28299,"62,333","1,333",20,10,15,16,0
310,13609,"62,330","1,330",14,6,19,22,0
311,88189,"62,220","1,220",10,14,19,18,0
312,72143,"62,110","1,110",12,12,21,16,0
313,46379,"62,110","1,110",10,8,21,22,0
314,82765,"62,000","2,000",12,16,20,12,0
315,86381,"61,777","1,777",8,12,22,18,0
316,39825,"61,557","1,557",12,16,21,11,0
317,77793,"61,443","1,443",10,10,22,18,0
318,89319,"61,333","1,333",16,12,12,20,0
319,32367,"60,667","1,667",18,10,20,11,0
320,22423,"60,557","1,557",12,10,21,16,0
321,11349,"60,333","1,333",14,6,22,17,0
322,87963,"59,670","1,670",12,12,24,10,0
323,31011,"58,890","1,890",8,12,19,18,0
324,54515,"58,670","1,670",14,6,20,17,0
325,37113,"58,667","0,667",18,10,13,17,0
326,21293,"58,000","2,000",18,8,19,11,0
327,78019,"57,557","1,557",6,12,17,21,0
328,15417,"57,557","1,557",12,10,21,13,0
329,14287,"57,557","1,557",12,8,19,17,0
330,48865,"57,000","2,000",14,16,9,16,0
331,44119,"57,000","1,000",12,12,19,13,0
332,40503,"56,890","1,890",16,10,22,7,0
333,59939,"56,670","1,670",16,10,16,13,0
334,52029,"56,557","1,557",12,10,21,12,0
335,34401,"56,553","1,553",12,14,22,7,0
336,62425,"55,553","1,553",10,6,18,20,0
337,83669,"54,890","1,890",10,8,16,19,0
338,97907,"54,780","1,780",12,12,20,9,0
339,73725,"54,780","1,780",14,10,22,7,0
340,78697,"54,670","1,670",6,10,18,19,0
341,50673,"54,330","1,330",10,8,24,11,0
342,42989,"53,890","1,890",14,10,14,14,0
343,49543,"53,000","2,000",8,10,21,12,0
344,61747,"53,000","2,000",8,4,27,12,0
345,80731,"52,780","1,780",6,10,17,18,0
346,18355,"52,557","1,557",10,14,19,8,0
347,92031,"52,000","2,000",18,10,15,7,0
348,30107,"51,667","1,667",14,6,22,8,0
349,33045,"51,443","1,443",20,4,19,7,0
350,91127,"51,330","1,330",10,12,15,13,0
351,64911,"51,330","1,330",12,8,23,7,0
352,54967,"50,000","2,000",12,10,15,11,0
353,64459,"50,000","2,000",14,8,19,7,0
354,16999,"50,000","1,000",4,8,21,16,0
355,22197,"49,777","1,777",10,10,14,14,0
356,36661,"49,330","1,330",12,10,20,6,0
357,66945,"49,110","1,110",10,14,18,6,0
358,78471,"49,000","2,000",10,8,17,12,0
359,23101,"48,667","1,667",10,8,18,11,0
360,34175,"48,000","2,000",10,8,12,16,0
361,71691,"47,777","1,777",14,8,18,6,0
362,28977,"46,890","1,890",12,12,14,7,0
363,57453,"46,670","0,670",14,4,18,10,0
364,76211,"46,330","1,330",6,10,16,13,0
365,82539,"45,223","1,223",16,8,12,8,0
366,50899,"45,000","2,000",14,10,11,8,0
367,81183,"45,000","2,000",12,10,8,13,0
368,49091,"44,667","1,667",12,8,16,7,0
369,49995,"43,667","1,667",6,8,19,9,0
370,19711,"43,447","1,447",6,10,16,10,0
371,94065,"42,000","1,000",14,8,11,8,0
372,20163,"41,557","1,557",14,4,16,6,0
373,72821,"41,000","1,000",6,10,12,12,0
374,97455,"40,330","1,330",8,6,15,10,0
375,92257,"40,000","1,000",10,8,12,9,0
376,82991,"39,667","1,667",8,10,13,7,0
377,67849,"39,330","1,330",,,13,25,0
378,83895,"39,110","1,110",10,6,17,5,0
379,58583,"39,000","2,000",16,4,11,6,0
380,86155,"38,110","1,110",10,8,11,8,0
381,33271,"37,890","1,890",18,6,6,6,0
382,84573,"36,667","0,667",6,14,9,7,0
383,53837,"32,780","0,780",8,14,5,5,0
384,20615,"27,890","0,890",10,4,7,6,0
385,80279,"22,000","2,000",0,0,,20,0
386,45701,"25,667","0,667",8,4,3,10,0
1,57905,"138,000","2,000",24,18,49,45,1
2,46605,"136,000","2,000",26,16,49,43,1
3,27847,"136,000","2,000",22,16,49,47,1
4,35757,"133,000","2,000",20,20,48,43,1
5,17677,"133,000","2,000",22,18,47,44,1
6,49769,"133,000","2,000",24,16,45,46,1
7,39373,"132,000","2,000",28,16,46,40,1
8,48187,"131,000","2,000",24,16,44,45,1
8,87511,"131,000","2,000",24,16,42,47,1
8,44797,"131,000","2,000",24,16,42,47,1
11,70787,"131,000","2,000",22,16,50,41,1
12,26943,"128,780","1,780",20,16,44,47,1
13,47961,"128,000","2,000",20,20,45,41,1
14,63781,"128,000","2,000",14,16,48,48,1
15,32593,"128,000","2,000",26,14,42,44,1
16,35531,"127,000","2,000",26,16,44,39,1
17,19937,"127,000","2,000",24,16,45,40,1
18,98133,"127,000","2,000",22,14,48,41,1
19,10897,"126,443","1,443",22,16,41,46,1
20,76663,"126,000","2,000",24,18,44,38,1
21,86833,"126,000","2,000",22,14,48,40,1
22,13835,"125,000","2,000",22,18,46,37,1
23,95873,"124,000","2,000",14,12,48,48,1
24,77115,"122,000","2,000",24,16,42,38,1
25,59713,"122,000","2,000",20,14,47,39,1
26,55193,"121,000","2,000",24,18,48,29,1
27,31463,"121,000","2,000",18,18,46,37,1
28,31689,"121,000","2,000",20,16,44,39,1
29,85025,"121,000","2,000",16,16,43,44,1
30,40729,"121,000","2,000",22,14,45,38,1
31,11801,"121,000","2,000",16,12,44,47,1
32,73047,"120,000","2,000",16,16,43,43,1
33,56549,"120,000","2,000",22,14,40,42,1
34,75533,"120,000","2,000",20,14,43,41,1
35,61295,"119,000","2,000",18,14,45,40,1
36,52707,"119,000","2,000",20,12,44,41,1
37,64233,"118,000","2,000",20,16,37,43,1
38,48413,"118,000","2,000",20,14,46,36,1
39,41181,"118,000","2,000",14,14,40,48,1
40,46831,"116,000","2,000",12,20,47,35,1
41,24457,"116,000","2,000",14,18,41,41,1
42,23553,"115,667","1,667",24,20,40,30,1
43,18129,"115,000","2,000",22,16,42,33,1
44,21745,"115,000","2,000",20,16,45,32,1
45,33723,"115,000","2,000",16,16,38,43,1
46,67623,"114,000","2,000",20,16,38,38,1
47,74403,"113,557","1,557",18,16,36,42,1
48,12479,"113,000","2,000",20,16,41,34,1
49,26717,"113,000","2,000",16,16,47,32,1
50,18807,"113,000","2,000",20,14,42,35,1
51,93613,"113,000","2,000",18,14,43,36,1
52,73499,"113,000","2,000",12,14,42,43,1
53,80053,"113,000","2,000",14,12,41,44,1
54,40277,"112,000","2,000",22,16,38,34,1
55,68979,"112,000","2,000",16,14,35,45,1
56,69657,"112,000","2,000",14,14,40,42,1
