ID,RANK,GRADES,MATH,CZECH,VR,SUM
820160,209,"9,8",39,27,30,"105,8"
820161,390,"9,0",8,21,24,"62,0"
820163,304,"11,4",31,20,21,"83,4"
820164,247,"12,0",21,29,35,"97,0"
820165,361,"12,0",21,19,18,"70,0"
820166,401,"10,6",10,16,21,"57,6"
820167,290,"10,6",21,27,30,"88,6"
820168,149,"11,4",29,39,35,"114,4"
820169,13,"12,0",38,46,42,"138,0"
820170,407,"7,6",16,14,18,"55,6"
820171,309,"11,4",21,27,23,"82,4"
820172,44,"10,6",46,34,41,"131,6"
820173,142,"12,0",38,30,35,"115,0"
820174,24,"12,0",45,39,39,"135,0"
820175,51,"11,4",34,47,38,"130,4"
820176,188,"11,2",30,33,35,"109,2"
820177,119,"10,6",38,38,32,"118,6"
820178,363,"12,0",17,14,26,"69,0"
820179,354,"10,8",20,23,18,"71,8"
820180,332,"12,0",14,31,21,"78,0"
820181,257,"11,2",35,21,28,"95,2"
820182,359,"8,4",30,13,19,"70,4"
820183,52,"12,0",37,44,37,"130,0"
820184,179,"10,4",39,26,35,"110,4"
820185,311,"8,0",24,22,28,"82,0"
820186,279,"10,6",21,30,29,"90,6"
820187,351,"8,6",33,16,15,"72,6"
820188,199,"12,0",32,32,31,"107,0"
820189,420,"9,8",6,8,23,"46,8"
820190,260,"12,0",27,24,32,"95,0"
820191,62,"8,8",40,44,35,"127,8"
820192,255,"11,2",32,20,32,"95,2"
820193,399,"12,0",14,18,15,"59,0"
820194,419,"12,0",10,10,17,"49,0"
820195,370,"11,4",13,18,24,"66,4"
820196,282,"12,0",24,19,35,"90,0"
820197,353,"12,0",20,16,24,"72,0"
820198,350,"5,6",23,20,24,"72,6"
820199,261,"10,0",27,27,31,"95,0"
820200,244,"11,4",19,33,34,"97,4"
820201,397,"6,2",10,14,29,"59,2"
820202,68,"12,0",34,40,40,"126,0"
820203,91,"12,0",36,34,40,"122,0"
820204,104,"12,0",42,41,26,"121,0"
820205,136,"12,0",33,32,39,"116,0"
820206,241,"12,0",28,28,30,"98,0"
820207,346,"10,0",10,29,24,"73,0"
820208,152,"12,0",35,30,37,"114,0"
820209,319,"5,6",18,30,27,"80,6"
820210,280,"6,4",25,31,28,"90,4"
820211,144,"12,0",26,42,35,"115,0"
820212,298,"12,0",20,29,25,"86,0"
820213,215,"12,0",35,33,24,"104,0"
820214,300,"10,0",19,25,31,"85,0"
820215,10,"10,6",38,44,47,"139,6"
820216,162,"11,4",39,32,30,"112,4"
820217,334,"10,6",18,20,28,"76,6"
820218,107,"12,0",24,44,40,"120,0"
820219,217,"11,4",21,31,40,"103,4"
820220,86,"12,0",41,34,36,"123,0"
820221,330,"12,0",14,22,30,"78,0"
820222,143,"12,0",32,36,35,"115,0"
820223,32,"12,0",46,45,31,"134,0"
820224,265,"8,2",26,28,32,"94,2"
820225,329,"10,0",14,24,30,"78,0"
820227,402,"12,0",25,20,,"57,0"
820228,376,"6,0",13,21,26,"66,0"
820229,417,"10,0",8,11,21,"50,0"
820230,106,"11,4",37,37,35,"120,4"
820231,173,"12,0",30,35,34,"111,0"
820232,382,"8,0",16,17,24,"65,0"
820233,278,"9,0",22,32,28,"91,0"
820234,323,"5,6",22,32,20,"79,6"
820235,403,"10,6",4,22,20,"56,6"
820236,405,"5,4",10,16,25,"56,4"
820237,426,"1,4",12,13,,"26,4"
820238,235,"8,6",32,31,28,"99,6"
820239,281,"11,2",28,22,29,"90,2"
820240,220,"9,2",35,30,29,"103,2"
820242,156,"6,4",35,42,30,"113,4"
820243,273,"12,0",26,32,23,"93,0"
820244,274,"7,8",27,26,32,"92,8"
820245,252,"12,0",29,27,28,"96,0"
820246,139,"10,6",35,40,30,"115,6"
820247,287,"4,0",28,31,26,"89,0"
820248,291,"10,6",33,16,29,"88,6"
820249,116,"9,0",37,36,37,"119,0"
820250,60,"10,0",44,45,29,"128,0"
820251,154,"12,0",41,36,25,"114,0"
820252,389,"11,2",16,13,22,"62,2"
820253,59,"12,0",39,44,33,"128,0"
820254,88,"12,0",41,39,31,"123,0"
820255,109,"12,0",35,38,35,"120,0"
820256,259,"12,0",30,21,32,"95,0"
820257,266,"12,0",24,32,26,"94,0"
820258,71,"12,0",39,36,38,"125,0"
820259,276,"8,6",30,32,21,"91,6"
820260,84,"11,4",40,38,34,"123,4"
820261,118,"12,0",36,40,31,"119,0"
820262,251,"12,0",30,24,30,"96,0"
820263,364,"2,8",12,27,27,"68,8"
820264,1,"12,0",49,48,40,"149,0"
820265,35,"12,0",41,39,41,"133,0"
820266,167,"12,0",38,35,27,"112,0"
820267,341,"11,4",7,32,24,"74,4"
820268,151,"11,2",30,41,32,"114,2"
820269,398,"11,2",13,16,19,"59,2"
820270,204,"11,2",30,32,33,"106,2"
820271,168,"12,0",37,41,22,"112,0"
820272,138,"7,6",33,43,32,"115,6"
820273,172,"12,0",31,34,34,"111,0"
820274,356,"7,4",11,23,30,"71,4"
820275,103,"12,0",33,45,31,"121,0"
820277,302,"9,8",39,36,,"84,8"
820278,9,"12,0",48,46,34,"140,0"
820279,288,"12,0",43,34,,"89,0"
820280,352,"12,0",16,18,26,"72,0"
820281,132,"12,0",38,34,33,"117,0"
820282,284,"12,0",23,30,25,"90,0"
820283,305,"12,0",21,17,33,"83,0"
820284,203,"9,2",34,25,38,"106,2"
820285,17,"12,0",41,42,42,"137,0"
820286,283,"9,0",26,21,34,"90,0"
820287,30,"12,0",46,43,33,"134,0"
820288,286,"12,0",21,18,38,"89,0"
820289,114,"12,0",29,39,39,"119,0"
820290,238,"12,0",28,32,27,"99,0"
820291,379,"11,2",16,11,27,"65,2"
820293,373,"8,2",17,20,21,"66,2"
820294,76,"12,0",42,35,35,"124,0"
820295,34,"12,0",50,30,41,"133,0"
820296,263,"9,8",29,27,29,"94,8"
820297,41,"12,0",44,42,34,"132,0"
820298,155,"10,8",36,41,26,"113,8"
820299,129,"10,8",33,40,34,"117,8"
820300,406,"5,6",21,5,24,"55,6"
820301,231,"12,0",29,30,30,"101,0"
820302,396,"8,6",8,10,33,"59,6"
820303,400,"5,4",5,14,34,"58,4"
820304,416,"9,4",4,13,24,"50,4"
820305,158,"11,2",30,43,29,"113,2"
820306,198,"12,0",31,32,32,"107,0"
820307,146,"12,0",34,39,30,"115,0"
820308,328,"8,4",21,23,26,"78,4"
820309,127,"12,0",39,35,32,"118,0"
820310,120,"11,4",40,32,35,"118,4"
820311,211,"11,0",33,30,31,"105,0"
820312,297,"12,0",22,23,29,"86,0"
820313,221,"12,0",28,30,33,"103,0"
820314,5,"12,0",46,42,42,"142,0"
820315,63,"12,0",33,45,37,"127,0"
820316,69,"12,0",31,47,36,"126,0"
820317,21,"12,0",40,40,44,"136,0"
820318,409,"3,4",7,12,33,"55,4"
820319,394,"8,0",15,16,21,"60,0"
820320,77,"12,0",41,38,33,"124,0"
820321,200,"12,0",23,41,31,"107,0"
820322,181,"12,0",31,28,39,"110,0"
820324,269,"10,6",32,23,28,"93,6"
820325,275,"12,0",27,27,26,"92,0"
820326,61,"12,0",44,45,27,"128,0"
820327,133,"12,0",37,36,32,"117,0"
820328,377,"9,8",11,15,30,"65,8"
820329,355,"7,6",21,21,22,"71,6"
820330,170,"10,6",35,38,28,"111,6"
820331,121,"12,0",34,32,40,"118,0"
820332,157,"11,4",38,39,25,"113,4"
820333,367,"7,6",21,12,27,"67,6"
820334,294,"12,0",28,25,22,"87,0"
820335,270,"10,4",21,28,34,"93,4"
820336,318,"5,6",23,23,29,"80,6"
820338,190,"5,0",37,35,32,"109,0"
820339,47,"12,0",43,42,34,"131,0"
820340,338,"4,8",25,18,28,"75,8"
820341,391,"6,2",14,11,30,"61,2"
820342,249,"3,6",32,25,36,"96,6"
820343,191,"12,0",33,34,30,"109,0"
820344,227,"8,6",27,32,34,"101,6"
820345,223,"10,6",30,26,36,"102,6"
820346,256,"11,2",31,23,30,"95,2"
820347,362,"12,0",22,36,,"70,0"
820348,175,"12,0",32,38,29,"111,0"
820349,18,"12,0",39,46,40,"137,0"
820350,392,"9,8",23,28,,"60,8"
820351,272,"12,0",30,26,25,"93,0"
820352,81,"12,0",42,41,29,"124,0"
820353,226,"9,0",33,38,22,"102,0"
820354,214,"12,0",31,37,25,"105,0"
820355,130,"11,4",38,32,36,"117,4"
820356,184,"12,0",36,36,26,"110,0"
820357,131,"8,0",36,40,33,"117,0"
820358,375,"4,0",19,17,26,"66,0"
820359,348,"12,0",27,34,,"73,0"
820360,29,"12,0",41,45,36,"134,0"
820361,393,"9,6",8,21,22,"60,6"
820362,289,"12,0",40,37,,"89,0"
820363,425,"12,0",25,,,"37,0"
820364,324,"11,4",22,20,26,"79,4"
820365,70,"12,0",36,43,35,"126,0"
820366,230,"12,0",30,25,34,"101,0"
820367,141,"12,0",35,32,36,"115,0"
820368,374,"2,0",18,12,34,"66,0"
820369,31,"12,0",44,45,33,"134,0"
820370,210,"10,6",36,31,28,"105,6"
820371,299,"5,4",18,30,32,"85,4"
820372,349,"1,6",23,22,26,"72,6"
820373,27,"12,0",39,46,37,"134,0"
820374,178,"7,8",38,33,32,"110,8"
820375,187,"9,8",36,31,33,"109,8"
820376,293,"8,0",25,27,27,"87,0"
820377,93,"12,0",35,38,37,"122,0"
820378,216,"4,6",42,29,28,"103,6"
820379,236,"11,4",27,30,31,"99,4"
820380,95,"12,0",35,42,33,"122,0"
820381,228,"5,0",26,30,40,"101,0"
820382,383,"6,2",15,14,29,"64,2"
820383,327,"8,4",13,22,35,"78,4"
820384,320,"6,4",29,22,23,"80,4"
820385,207,"12,0",31,29,34,"106,0"
820386,333,"4,0",25,19,29,"77,0"
820387,358,"7,4",22,18,23,"70,4"
820388,82,"12,0",37,46,29,"124,0"
820389,206,"12,0",24,35,35,"106,0"
820390,253,"9,8",24,34,28,"95,8"
820391,307,"5,6",26,24,27,"82,6"
820392,314,"8,4",18,30,25,"81,4"
820393,126,"12,0",31,42,33,"118,0"
820394,46,"12,0",39,45,35,"131,0"
820395,219,"3,2",37,27,36,"103,2"
820396,171,"7,4",39,35,30,"111,4"
820397,161,"7,4",35,39,31,"112,4"
820398,159,"12,0",30,35,36,"113,0"
820399,7,"12,0",47,47,36,"142,0"
820400,243,"8,8",32,32,25,"97,8"
820401,366,"12,0",21,35,,"68,0"
820402,408,"3,6",30,22,,"55,6"
820403,368,"9,2",14,20,24,"67,2"
820404,385,"10,0",15,19,20,"64,0"
820405,205,"11,2",35,33,27,"106,2"
820406,89,"12,0",43,41,27,"123,0"
820407,326,"7,8",20,20,31,"78,8"
820408,295,"10,4",18,25,33,"86,4"
820409,310,"7,0",30,17,28,"82,0"
820410,122,"12,0",39,32,35,"118,0"
820411,45,"12,0",39,41,39,"131,0"
820412,39,"12,0",35,47,38,"132,0"
820413,246,"11,2",31,24,31,"97,2"
820414,49,"10,6",45,37,38,"130,6"
820415,115,"12,0",33,36,38,"119,0"
820416,342,"9,2",30,35,,"74,2"
820417,316,"12,0",35,34,,"81,0"
820418,90,"12,0",27,40,43,"122,0"
820419,212,"12,0",27,35,31,"105,0"
820420,264,"11,4",29,23,31,"94,4"
820421,117,"12,0",34,38,35,"119,0"
820422,134,"12,0",34,39,32,"117,0"
820423,201,"10,8",33,35,28,"106,8"
820424,277,"11,2",24,27,29,"91,2"
820425,193,"12,0",28,33,35,"108,0"
820426,234,"10,0",30,36,24,"100,0"
820427,164,"12,0",35,29,36,"112,0"
820428,421,"2,4",8,12,23,"45,4"
820429,347,"10,0",18,23,22,"73,0"
820430,387,"0,0",13,25,25,"63,0"
820431,372,"4,2",22,18,22,"66,2"
820432,322,"6,2",19,24,31,"80,2"
820433,65,"12,0",39,46,30,"127,0"
820434,415,"12,0",18,21,,"51,0"
820435,218,"9,4",30,36,28,"103,4"
820436,213,"12,0",35,31,27,"105,0"
820437,424,"8,4",12,19,,"39,4"
820438,271,"10,0",23,30,30,"93,0"
820439,166,"12,0",26,40,34,"112,0"
